<2020-01-02 12.34.38.270>MATH_CORE_JNI  OnSize cx=3e8|cy=3e8
<2020-01-02 12.34.49.218>MATH_CORE_JNI  GeForce GTX 1070
<2020-01-02 12.34.49.221>MATH_CORE_JNI  DeviceExtension:VK_KHR_8bit_storage
<2020-01-02 12.34.49.223>MATH_CORE_JNI  DeviceExtension:VK_KHR_16bit_storage
<2020-01-02 12.34.49.224>MATH_CORE_JNI  DeviceExtension:VK_KHR_bind_memory2
<2020-01-02 12.34.49.225>MATH_CORE_JNI  DeviceExtension:VK_KHR_create_renderpass2
<2020-01-02 12.34.49.226>MATH_CORE_JNI  DeviceExtension:VK_KHR_dedicated_allocation
<2020-01-02 12.34.49.227>MATH_CORE_JNI  DeviceExtension:VK_KHR_depth_stencil_resolve
<2020-01-02 12.34.49.229>MATH_CORE_JNI  DeviceExtension:VK_KHR_descriptor_update_template
<2020-01-02 12.34.49.230>MATH_CORE_JNI  DeviceExtension:VK_KHR_device_group
<2020-01-02 12.34.49.231>MATH_CORE_JNI  DeviceExtension:VK_KHR_draw_indirect_count
<2020-01-02 12.34.49.232>MATH_CORE_JNI  DeviceExtension:VK_KHR_driver_properties
<2020-01-02 12.34.49.233>MATH_CORE_JNI  DeviceExtension:VK_KHR_external_fence
<2020-01-02 12.34.49.234>MATH_CORE_JNI  DeviceExtension:VK_KHR_external_fence_win32
<2020-01-02 12.34.49.236>MATH_CORE_JNI  DeviceExtension:VK_KHR_external_memory
<2020-01-02 12.34.49.237>MATH_CORE_JNI  DeviceExtension:VK_KHR_external_memory_win32
<2020-01-02 12.34.49.238>MATH_CORE_JNI  DeviceExtension:VK_KHR_external_semaphore
<2020-01-02 12.34.49.239>MATH_CORE_JNI  DeviceExtension:VK_KHR_external_semaphore_win32
<2020-01-02 12.34.49.240>MATH_CORE_JNI  DeviceExtension:VK_KHR_get_memory_requirements2
<2020-01-02 12.34.49.241>MATH_CORE_JNI  DeviceExtension:VK_KHR_image_format_list
<2020-01-02 12.34.49.242>MATH_CORE_JNI  DeviceExtension:VK_KHR_imageless_framebuffer
<2020-01-02 12.34.49.243>MATH_CORE_JNI  DeviceExtension:VK_KHR_maintenance1
<2020-01-02 12.34.49.244>MATH_CORE_JNI  DeviceExtension:VK_KHR_maintenance2
<2020-01-02 12.34.49.245>MATH_CORE_JNI  DeviceExtension:VK_KHR_maintenance3
<2020-01-02 12.34.49.246>MATH_CORE_JNI  DeviceExtension:VK_KHR_multiview
<2020-01-02 12.34.49.247>MATH_CORE_JNI  DeviceExtension:VK_KHR_pipeline_executable_properties
<2020-01-02 12.34.49.248>MATH_CORE_JNI  DeviceExtension:VK_KHR_push_descriptor
<2020-01-02 12.34.49.249>MATH_CORE_JNI  DeviceExtension:VK_KHR_relaxed_block_layout
<2020-01-02 12.34.49.250>MATH_CORE_JNI  DeviceExtension:VK_KHR_sampler_mirror_clamp_to_edge
<2020-01-02 12.34.49.251>MATH_CORE_JNI  DeviceExtension:VK_KHR_sampler_ycbcr_conversion
<2020-01-02 12.34.49.252>MATH_CORE_JNI  DeviceExtension:VK_KHR_shader_atomic_int64
<2020-01-02 12.34.49.253>MATH_CORE_JNI  DeviceExtension:VK_KHR_shader_draw_parameters
<2020-01-02 12.34.49.254>MATH_CORE_JNI  DeviceExtension:VK_KHR_shader_float16_int8
<2020-01-02 12.34.49.255>MATH_CORE_JNI  DeviceExtension:VK_KHR_shader_float_controls
<2020-01-02 12.34.49.256>MATH_CORE_JNI  DeviceExtension:VK_KHR_storage_buffer_storage_class
<2020-01-02 12.34.49.257>MATH_CORE_JNI  DeviceExtension:VK_KHR_swapchain
<2020-01-02 12.34.49.258>MATH_CORE_JNI  DeviceExtension:VK_KHR_swapchain_mutable_format
<2020-01-02 12.34.49.259>MATH_CORE_JNI  DeviceExtension:VK_KHR_timeline_semaphore
<2020-01-02 12.34.49.260>MATH_CORE_JNI  DeviceExtension:VK_KHR_uniform_buffer_standard_layout
<2020-01-02 12.34.49.261>MATH_CORE_JNI  DeviceExtension:VK_KHR_variable_pointers
<2020-01-02 12.34.49.262>MATH_CORE_JNI  DeviceExtension:VK_KHR_vulkan_memory_model
<2020-01-02 12.34.49.263>MATH_CORE_JNI  DeviceExtension:VK_KHR_win32_keyed_mutex
<2020-01-02 12.34.49.264>MATH_CORE_JNI  DeviceExtension:VK_EXT_blend_operation_advanced
<2020-01-02 12.34.49.265>MATH_CORE_JNI  DeviceExtension:VK_EXT_buffer_device_address
<2020-01-02 12.34.49.266>MATH_CORE_JNI  DeviceExtension:VK_EXT_calibrated_timestamps
<2020-01-02 12.34.49.267>MATH_CORE_JNI  DeviceExtension:VK_EXT_conditional_rendering
<2020-01-02 12.34.49.268>MATH_CORE_JNI  DeviceExtension:VK_EXT_conservative_rasterization
<2020-01-02 12.34.49.269>MATH_CORE_JNI  DeviceExtension:VK_EXT_depth_clip_enable
<2020-01-02 12.34.49.270>MATH_CORE_JNI  DeviceExtension:VK_EXT_depth_range_unrestricted
<2020-01-02 12.34.49.271>MATH_CORE_JNI  DeviceExtension:VK_EXT_descriptor_indexing
<2020-01-02 12.34.49.272>MATH_CORE_JNI  DeviceExtension:VK_EXT_discard_rectangles
<2020-01-02 12.34.49.273>MATH_CORE_JNI  DeviceExtension:VK_EXT_external_memory_host
<2020-01-02 12.34.49.274>MATH_CORE_JNI  DeviceExtension:VK_EXT_fragment_shader_interlock
